batch_id,cycles,temperature,sulfur_ppm,pH,ash,quality_score
BS001,9.0,850.0,1.1,10.6,0.25,88.05
BS002,6.0,780.0,2.3,9.8,0.42,87.48
BS003,9.0,900.0,0.9,10.9,0.2,88.0
BS004,6.0,750.0,3.1,9.2,0.55,87.15
BS005,9.0,880.0,1.0,10.7,0.22,88.08
BS006,9.0,850.0,3.1,9.0,10.0,77.9
BS007,9.0,799.0,5.0,9.0,50.0,36.0
BS008,9.0,853.6615053,1.652095646,9.259222839,3.607525014,85.4811565
BS009,9.0,801.7859453,2.632531208,9.56694787,6.99314344,80.80737748
BS010,9.0,888.7037391,2.162833753,9.959843339,9.658569849,78.21875306
BS011,9.0,816.3080903,1.135964243,10.56377532,2.261209712,86.03905073
BS012,9.0,833.9981184,2.278486715,9.453829255,3.429614062,84.83806997
BS013,9.0,785.5874802,2.978956266,10.82781542,0.443292345,85.74993597
BS014,9.0,803.9352895,2.133117122,9.940664791,2.496541882,85.42967621
BS015,9.0,823.7220865,1.679225303,10.42434148,8.683600446,79.21283277
BS016,9.0,806.0902056,3.096376717,10.13866809,6.065327894,80.6996273
BS017,9.0,825.275852,1.338651482,10.2154748,5.112595071,83.33327865
BS018,9.0,878.2122078,1.632921362,10.79020998,1.222575901,86.35429276
BS019,9.0,831.0412197,0.994384217,9.982170437,8.972965793,80.05047955
BS020,9.0,767.3979021,1.930639132,9.93502251,4.214539414,83.91979894
BS021,9.0,773.0864992,2.817154779,9.081138287,1.767910265,86.33379667
BS022,9.0,859.9079082,1.771351983,10.62258677,3.078185239,84.52787601
BS023,9.0,843.6828948,2.294670166,9.509081872,8.385795673,79.81045229
BS024,9.0,880.8128047,1.198279984,9.532577361,4.773505895,84.49563676
BS025,9.0,819.5248545,1.601529833,9.554034747,4.999669581,83.84476584
BS026,9.0,878.34874,1.179519867,9.363496392,8.378019611,81.07896413
BS027,9.0,833.7844982,2.425244289,10.08198192,9.500778154,77.99199564
BS028,9.0,826.3371355,3.021367069,9.176709075,1.727675888,86.07424797
BS029,9.0,844.4217966,1.997058937,10.7238301,0.443287963,86.835823
BS030,9.0,819.9889597,1.689654929,10.14271366,1.501159472,86.66647194
BS031,9.0,790.505352,1.33230835,10.80343268,2.113150294,85.75110868
BS032,9.0,769.4630289,1.532768121,10.14191782,9.822568389,78.50274567
BS033,9.0,866.6375129,2.159262753,10.20376925,1.676846018,85.96012198
BS034,9.0,754.0665491,1.940725873,9.721648986,8.996138737,79.3414864
BS035,9.0,759.7239388,1.219124692,9.263690033,8.685311337,80.83187394
BS036,9.0,885.1013524,1.42755325,9.113870751,5.717524409,83.74105159
BS037,9.0,788.430575,2.070298467,10.2490514,4.324412157,83.35623798
BS038,9.0,761.0013368,0.945323625,9.755862048,1.940344945,87.35846938
BS039,9.0,782.2242842,2.228846607,9.745256096,1.788749011,86.23714829
BS040,9.0,766.6286933,2.232357212,10.46390747,5.966394189,81.33734113
BS041,9.0,882.5576352,1.932756753,10.68819807,4.301756347,83.07728883
BS042,9.0,755.2578622,2.150670575,10.14054499,9.174989404,78.53379503
BS043,9.0,867.0591843,1.117889152,10.65974677,7.663899489,80.55846459
BS044,9.0,889.9154427,2.106938321,9.063799082,2.435329139,86.39393346
BS045,9.0,828.0636954,1.309561154,10.13916914,6.298463489,82.25280622
BS046,9.0,884.5773149,1.032555883,9.751952512,1.177045591,88.03844601
BS047,9.0,814.7139189,2.47737859,10.45938911,3.626987411,83.43624489
BS048,9.0,896.8282992,2.769009687,9.804639079,6.688097299,80.73825394
BS049,9.0,864.314754,2.05504095,9.437107928,7.407457406,81.10039372
BS050,9.0,797.6461965,1.823465778,10.57498069,9.115365449,78.48618808
BS051,9.0,774.2910157,1.271316165,9.227496234,1.373234481,88.12795312
BS052,9.0,779.6414574,1.651273335,10.32607802,2.321008723,85.70163992
BS053,9.0,788.8843373,1.792844487,9.062042697,2.031656336,87.11345648
BS054,9.0,768.1106289,1.783269181,9.300560299,4.935893678,83.98027684
BS055,9.0,765.977721,2.679056777,10.8450185,7.159274621,79.3166501
BS056,9.0,761.1856985,2.889721457,9.766802574,8.822691013,78.52078496
BS057,9.0,781.946121,1.074514495,10.12064142,1.715526196,87.08931789
BS058,9.0,829.4737997,2.459313235,10.61274086,7.81860451,79.1093414
BS059,9.0,804.701954,1.373721197,10.2384788,0.456195648,87.93160436
BS060,9.0,800.4700384,2.954269693,9.456002405,3.442088887,84.14763902
BS061,9.0,822.8574773,2.131114137,10.17392074,6.477968712,81.21699641
BS062,9.0,818.0310836,1.127803353,10.13548685,3.113283476,85.62342632
BS063,9.0,752.7956895,2.606862635,9.432676016,0.929892239,87.03056911
BS064,9.0,828.7966879,2.788148768,9.660521648,6.188919366,81.36241022
BS065,9.0,875.1393696,2.746208146,10.73512249,3.781340187,82.73732918
BS066,9.0,802.3268122,2.504726527,9.867030653,9.709345336,77.91889748
BS067,9.0,871.6235899,2.623723142,9.138531445,2.998960485,85.23878493
BS068,9.0,820.8398939,2.393550875,10.73776728,6.949028922,79.91965292
BS069,9.0,855.1158629,2.782285782,9.102495365,3.893924795,84.22129406
BS070,9.0,754.0028472,1.92327254,10.28248395,7.186426878,80.60781663
BS071,9.0,892.6454493,2.338766205,10.59089529,8.423638687,78.64669982
BS072,9.0,848.8119139,2.832496546,10.61319241,6.255035216,80.29927583
BS073,9.0,837.3610117,1.115288932,10.29772952,3.31415981,85.27282174
BS074,9.0,771.3302221,1.995117701,10.89390975,4.684861425,82.42611112
BS075,9.0,755.1029711,2.179637969,10.62629948,4.475192523,82.71887003
BS076,9.0,756.6065548,2.851337101,10.66580117,1.04538834,85.43747339
BS077,9.0,899.725321,2.367645324,9.534177779,7.934893817,80.16328308
